st2,stplc2,popden90,pov12590,Time1,Time2,Time3,Time4,cpden90,cpv12590,State,Poverty
36,3631940,0.325900525,21.12781906,4.361052036,5.451117992,5.705671787,7.057116985,-0.563847475,6.972613561,0,0
36,3632325,0.90114218,7.081911087,5.14228344,4.399459839,5.287145615,5.890874386,0.01139418,-7.073294413,0,0
36,3632413,0.534672976,5.529294014,5.270198822,5.533789635,5.417407036,5.392203808,-0.355075024,-8.625911486,0,0
36,3632710,1.575733662,4.199372292,3.756226063,4.094386101,4.510264874,3.893388987,0.685985662,-9.955833208,0,0
36,3632754,1.828361154,22.93014526,5.412082672,5.234434128,5.376480103,6.221207619,0.938613154,8.774939764,0,0
36,3632765,0.563036084,10.46277618,5.297360897,5.502173901,5.519449234,5.627353668,-0.326711916,-3.692429316,0,0
36,3632963,0.18563202,2.144970417,4.319206238,5.00567627,4.319206238,4.319206238,-0.70411598,-12.01023508,0,0
36,3633139,5.183209419,15.91190815,5.842073441,5.896287918,5.91515255,6.136401653,4.293461419,1.75670265,0,0
36,3634121,1.27099669,27.19871902,5.956075668,6.3736763,6.568963051,6.128068447,0.38124869,13.04351352,0,0
36,3634495,1.378501415,10.90350628,4.956510067,5.248688698,5.650238037,5.047028542,0.488753415,-3.251699221,0,0
36,3634550,0.170517743,8.131964684,2.415163755,3.397349119,2.415163755,3.732092381,-0.719230257,-6.023240816,0,0
36,3635276,0.81711328,9.013754845,5.270015717,5.370001793,5.016894341,5.312157631,-0.07263472,-5.141450655,0,0
36,3635474,0.783037901,16.12620544,5.105697632,5.489149094,5.390354156,6.252707958,-0.106710099,1.970999944,0,0
36,3635672,1.48503983,24.8207798,6.17810154,6.215087891,6.482326031,6.600121975,0.59529183,10.6655743,0,0
36,3635694,0.678300738,7.167858601,5.702338219,5.46860981,5.52307415,6.469294071,-0.211447262,-6.987346899,0,0
36,3635969,1.430810332,31.37797546,6.51863575,6.784051895,6.893344879,6.733085632,0.541062332,17.22276996,0,0
36,3635980,1.586356997,15.74523926,5.716965675,6.106782436,5.474841595,5.878560543,0.696608997,1.590033758,0,0
36,3636178,0.009026495,19.2399044,5.989103794,4.665503979,4.210533142,3.869205475,-0.880721505,5.084698904,0,0
36,3637022,0.572019577,2.764976978,4.211315155,4.211315155,5.808820724,4.897021294,-0.317728423,-11.39022852,0,0
36,3637209,0.221661597,5.909520149,5.196764946,5.215890884,5.157999992,5.416963577,-0.668086403,-8.245685351,0,0
36,3637275,1.389184117,22.2502861,5.620368958,5.707092285,5.793685913,5.876347065,0.499436117,8.095080602,0,0
36,3637495,0.002101114,15.68047333,6.367577553,6.223879814,6.479063988,7.059437752,-0.887646886,1.525267828,0,0
36,3637726,1.326075912,5.915661812,6.16440773,6.196920872,6.438776016,6.459796906,0.436327912,-8.239543688,0,0
36,3637803,0.879468024,2.798982143,3.886424541,4.910662651,4.733736992,5.202632904,-0.010279976,-11.35622336,0,0
36,3638077,2.091546297,44.32870483,6.482014656,6.823225975,6.759700775,6.905738354,1.201798297,30.17349933,0,0
36,3638264,1.511813402,24.62662315,6.211583614,6.266066074,6.447062492,6.619707108,0.622065402,10.47141765,0,0
36,3638748,1.46729219,15.42966366,6.246191025,6.546854973,6.534582138,6.750729084,0.57754419,1.274458158,0,0
36,3639232,4.61703825,7.183287621,4.959376812,5.670098305,5.924842834,5.82461977,3.72729025,-6.971917879,0,0
36,3639331,0.125026077,3.360388279,5.000077724,4.939537525,5.274420738,5.487739086,-0.764721923,-10.79481722,0,0
36,3639694,0.559625626,4.638439655,3.092026234,4.102938175,3.762206793,4.443669796,-0.330122374,-9.516765845,0,0
36,3639727,1.208529592,15.32465172,6.034337997,5.98708725,6.318537712,6.619538307,0.318781592,1.169446218,0,0
36,3639804,0.115994513,6.261266708,4.676485062,5.016327858,5.303857803,4.485477448,-0.773753487,-7.893938792,0,0
36,3640189,1.298410535,22.70259666,5.839830399,5.968421936,5.642691612,6.680184364,0.408662535,8.547391164,0,0
36,3640761,0.695688665,19.9168396,5.626460075,5.697229385,5.808800697,5.596215248,-0.194059335,5.7616341,0,0
36,3640937,0.518905342,0.738167584,6.140110016,6.307786942,5.962064743,6.374431133,-0.370842658,-13.41703792,0,0
36,3641069,0.700196445,7.295174122,5.145735741,4.645141602,5.244109631,5.002735138,-0.189551555,-6.860031378,0,0
36,3641135,1.711827993,10.0363884,4.614741325,5.122028351,5.339789867,5.266050816,0.822079993,-4.118817103,0,0
36,3641146,0.328163862,8.865436554,5.057662964,5.243530273,5.455744267,5.575980186,-0.561584138,-5.289768946,0,0
36,3641333,2.228190422,2.259060621,5.601870537,4.822719097,5.926133156,5.714428425,1.338442422,-11.89614488,0,0
36,3641487,0.229396328,2.901915312,3.989916801,5.076118469,4.533017635,3.989916801,-0.660351672,-11.25329019,0,0
36,3642026,0.711995423,11.9866581,5.800091267,6.217251301,6.221008778,6.628730297,-0.177752577,-2.168547404,0,0
36,3642224,0.682878435,21.47270775,6.467143059,6.918405533,6.785055637,6.904621124,-0.206869565,7.317502248,0,0
36,3642741,0.592920363,24.84168625,5.566074848,5.658409119,5.976960182,5.956760406,-0.296827637,10.68648075,0,0
36,3642884,1.340142965,6.967840672,4.746750355,5.085400581,5.918556213,6.468400002,0.450394965,-7.187364828,0,0
36,3642994,0.112160109,6.025597572,4.959344864,5.705669403,5.446891785,5.446891785,-0.777587891,-8.129607928,0,0
